,text
272,Backport of #7025 [2.5.x] Add @helper.repeatWithIndex(...) helper >>> 1
273,Fixes #5992 \r\n\r\nReplaces the `validate()` method with `JSR-303`/`JSR-349` compliant class-level constraints.\r\nPlay out-of-the-box now provides three generic class-level constraints which can be seen as almost drop in replacements for the current `validate()` method with it's different return types (only simple migration steps are necessary).\r\n\r\nThis is all possible because[ since Hibernate Validator v5.3](http://in.relation.to/2016/01/18/hibernate-validator-530-alpha1-out/#dynamic-payloads-for-constraints) we can now pass payloads (in our case `ValidationError` objects) from within constraints to Play's internal validation code.\r\n\r\nFor further explanation just have a look at the migration guide and docs I added in the PR. (I put the `Advanced validation` section at the bottom of the applicable documentation page so it gets out of the way for new users who just want to quickly know how basic validation works.) Provide generic class-level constraints and deprecate validate() >>> 1
274,nan Fix version in @deprecated >>> 1
275,"Removes the embedded play20 welcome page.  \n\nThis has been moved out to the play-starter templates:\n\nhttps://github.com/playframework/play-java-starter-example/blob/master/app/views/welcome.scala.html\n\nSo that new users have a better experience.  It's not used internally, and is confusing to new users. Delete welcome page >>> 1"
276,"This deprecates obsolete methods in java api. Methods such as getFile(String relativePath) , resource(String relativePath) and resourceAsStream(String relativePath) in Appliaction.java use deprecated methods from Appliaction.scala, so should be deprecated too.\r\n Deprecation of methods (getFile(), resource() and resourceAsStream() … >>> 1"
277,nan #7050 added note on migrating deprecated Forms code >>> 0
278,Build for branch 2.4.x is failing. This fix the test that is causing the failure. [2.4.x]: Fix build test >>> 1
279,"Defines a JWT cookie encoding using SHA256 for signing.  There is a fallback encoding that can read both urlencoded-SHA1-signed cookies or JWT, and write out a JWT.\r\n\r\nThis is based on JJWT as it depends on Jackson 2.8 and has no other dependencies.\r\n\r\nThe encode / decode methods are overridden to leverage JWT to and from Map[String, String].  The issued-at and not-before claims are written out, and there's an optional id.  There is an expiration option, which will render the JWT useless past a certain date.  This is neat, as it gives us the benefits of browser expiration and server side token expiration automatically.\r\n\r\nFor session, JWT expiration mapped to the same as `maxAge`.  For Flash, there is no JWT expiration.\r\n\r\nThe cookie information is a custom claim that can be defined through configuration.  The JWT configuration is broken out so that people who want custom cookies can leverage functionality without having to add it in themselves.\r\n\r\nThere is also some minor clean up of Flash and Session traits, making method returns explicit and removing SessionConfiguration from code and defining the domain explicitly.\r\n\r\nI note that we don't include anything about `CookieBaker` and the benefit from being able to float a custom type to and from cookie format -- we do this for Play JSON through `Reads` and `Writes` so it's a bit strange it isn't mentioned in the docs and we make people work with raw `Cookie`.  Add JWT cookie encoding >>> 1"
280,"Just had this case: When validating a form I want to make sure that all integers [inside a list submitted by the user](https://www.playframework.com/documentation/2.5.x/JavaFormHelpers#Handling-repeated-values) are positiv. This can be done with Hibernate validator via:\r\n\r\n```java\r\nimport play.data.validation.Constraints.Min;\r\n\r\n@Valid\r\nprivate List<@Min(0) Integer> values;\r\n```\r\n\r\nUnfortunataly all our constraints defined in [`play.data.validation.Constraints`](https://github.com/playframework/playframework/blob/2.6.0-M1/framework/src/play-java-forms/src/main/java/play/data/validation/Constraints.java) are only allowed  on fields currently. **So right now this doesn't work in Play.**\r\nHowever Hibernate validator allows you to put constraints on type arguments (`TYPE_USE`) like needed in the case above. For other purposes you could put constraints on methods, constructors and other annotations as well which is all described in the hibernate validator docs.\r\n[All](https://github.com/hibernate/hibernate-validator/tree/master/engine/src/main/java/org/hibernate/validator/constraints) the built-in Hibernate validator constraints use [these](https://github.com/hibernate/hibernate-validator/blob/master/engine/src/main/java/org/hibernate/validator/constraints/NotEmpty.java#L38) set of `@Targets` by default - I was actually wondering why Play doesn't. Add additional @Targets to constraints >>> 1"
281,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [x] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [x] Have you added copyright headers to new files?\r\n* [x] Have you checked that both Scala and Java APIs are updated?\r\n* [x] Have you updated the documentation for both Scala and Java sections?\r\n* [x] Have you added tests for any changed functionality?\r\n\r\n# Helpful things\r\n\r\n\r\n## Purpose\r\n\r\nUpgrade mysql connector java to 5.1.41\r\n\r\n Update mysql connector java to  5.1.41 >>> 1"
282,## Fixes\r\n\r\nFixes #7028.\r\n\r\n## References\r\n\r\nSee also #7029.\r\n Return empty map when parsing uris with empty query strings >>> 1
283,"WIP NEEDS BENCHMARKING\r\n\r\n## Fixes\r\n\r\nFixes https://github.com/playframework/playframework/issues/6958\r\n\r\n## Purpose\r\n\r\nThis PR removes the SLF4J-JUL bridge and configuration from LogbackLoggerConfigurator\r\n\r\n## Background Context\r\n\r\nJUL is not used internally, and if there are any performance considerations, they'll come out in the build.  \r\n\r\nShould run through microbenchmarks and prune before merging this.\r\n Add LevelChangePropagator >>> 1"
284,## Purpose\r\n\r\n1. Add Netty 4.1 upgrade information\r\n2. Correct some format details\r\n3. Reword a phrase of Akka migration. Improvements and small corrections to migration guide >>> 1
285,"# Pull Request Checklist\r\n\r\n* [ ] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [ ] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [x] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [x] Have you added copyright headers to new files?\r\n* [x] Have you checked that both Scala and Java APIs are updated?\r\n* [x] Have you updated the documentation for both Scala and Java sections?\r\n* [x] Have you added tests for any changed functionality?\r\n\r\n# Helpful things\r\n\r\n## Purpose\r\n\r\nThese lines are no longer needed in recent versions of sbt-assembly, as explained here: https://github.com/sbt/sbt-assembly/blob/master/Migration.md#upgrading-with-bare-buildsbt Update assembly.sbt >>> 1"
286,nan Fix compilation error in test >>> 1
287,"## Fixes\r\n\r\nFixes #4878.\r\n\r\n## Purpose\r\n\r\nAs suggested by @gmethvin (https://github.com/playframework/playframework/issues/4878#issuecomment-125174212), `HEAD` request against ws endpoints will now respond with a Bad Request (`400`).\r\n\r\n## References\r\n\r\nSee #7057 and #7059.\r\n WebSocket endpoints returning 400 for HEAD requests >>> 1"
288,"## Background Context\r\n\r\nIt's not clear in current documentation how controllers are allocated\r\nduring request handling. Also the current words ""prototype controller""\r\nare not clear to general developers as that's a spring specific term.\r\nThis change is to make things explicit.\r\n Component lifecycle clarification in DI chapter of doc >>> 0"
289,Some minor cleanup in `publishLocal` warnings. Clean up some warnings in doc >>> 1
290,## Purpose\r\n\r\nReturns an empty Map when parsing URIs with empty query string.\r\n\r\n## Fixes\r\n\r\nFixes #7028. [2.5.x]: Fix empty query string parse >>> 1
291,"## Fixes\r\n\r\nFixes #4878.\r\n\r\n## Purpose\r\n\r\nAs suggested by @gmethvin (https://github.com/playframework/playframework/issues/4878#issuecomment-125174212), `HEAD` request against ws endpoints will now respond with a Bad Request (`400`). [2.5.x]: WebSocket endpoints returning 400 for HEAD requests >>> 1"
292,## Fixes\r\n\r\nRelated to #4878.\r\n\r\n## Purpose\r\n\r\nBackport of #7057 to branch 2.4.x. [2.4.x]: WebSocket endpoints returning 400 for HEAD requests >>> 1
293,* Use `CompileOrder.JavaThenScala` when compiling java-forms tests to workaround [Scala 2.11 bug](https://github.com/playframework/playframework/pull/7055#issuecomment-285376543)\r\n* Had therefore move `Task.scala` to `Task.java` because `HttpFormsTest.JAVA` does depend on it (but gets compiled before now) Fix for 2.11 crossbuild >>> 1
294,"The Travis CI build is not building 2.11 effectively.\r\n\r\nSee https://github.com/playframework/playframework/pull/7055 for breakage.\r\n\r\nIn addition, with 2.11 we are running into https://github.com/playframework/playframework/issues/6782 again\r\n\r\n```\r\n[info] Resolving org.scala-sbt#sbt-launch;0.13.13 ...\r\n[warn] \t::::::::::::::::::::::::::::::::::::::::::::::\r\n[warn] \t::          UNRESOLVED DEPENDENCIES         ::\r\n[warn] \t::::::::::::::::::::::::::::::::::::::::::::::\r\n[warn] \t:: com.typesafe.sbt#sbt-twirl;1.3.0: not found\r\n[warn] \t:: com.typesafe.sbt#sbt-native-packager;1.1.5: not found\r\n[warn] \t:: com.typesafe.sbt#sbt-web;1.3.0: not found\r\n[warn] \t:: com.typesafe.sbt#sbt-js-engine;1.1.3: not found\r\n[warn] \t::::::::::::::::::::::::::::::::::::::::::::::\r\n[warn] \r\n[warn] \tNote: Some unresolved dependencies have extra attributes.  Check that these dependencies exist with the requested attributes.\r\n[warn] \t\tcom.typesafe.sbt:sbt-twirl:1.3.0 (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-native-packager:1.1.5 (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-web:1.3.0 (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-js-engine:1.1.3 (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \r\n[warn] \tNote: Unresolved dependencies path:\r\n[warn] \t\tcom.typesafe.sbt:sbt-twirl:1.3.0 (scalaVersion=2.11, sbtVersion=0.13) (/home/wsargent/work/playframework/master/framework/build.sbt#L172)\r\n[warn] \t\t  +- com.typesafe.play:sbt-plugin:2.6.0-SNAPSHOT (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-native-packager:1.1.5 (scalaVersion=2.11, sbtVersion=0.13) (/home/wsargent/work/playframework/master/framework/build.sbt#L172)\r\n[warn] \t\t  +- com.typesafe.play:sbt-plugin:2.6.0-SNAPSHOT (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-web:1.3.0 (scalaVersion=2.11, sbtVersion=0.13) (/home/wsargent/work/playframework/master/framework/build.sbt#L172)\r\n[warn] \t\t  +- com.typesafe.play:sbt-plugin:2.6.0-SNAPSHOT (scalaVersion=2.11, sbtVersion=0.13)\r\n[warn] \t\tcom.typesafe.sbt:sbt-js-engine:1.1.3 (scalaVersion=2.11, sbtVersion=0.13) (/home/wsargent/work/playframework/master/framework/build.sbt#L172)\r\n[warn] \t\t  +- com.typesafe.play:sbt-plugin:2.6.0-SNAPSHOT (scalaVersion=2.11, sbtVersion=0.13)\r\n[trace] Stack trace suppressed: run last SBT-Plugin/*:update for the full output.\r\n[error] (SBT-Plugin/*:update) sbt.ResolveException: unresolved dependency: com.typesafe.sbt#sbt-twirl;1.3.0: not found\r\n[error] unresolved dependency: com.typesafe.sbt#sbt-native-packager;1.1.5: not found\r\n[error] unresolved dependency: com.typesafe.sbt#sbt-web;1.3.0: not found\r\n[error] unresolved dependency: com.typesafe.sbt#sbt-js-engine;1.1.3: not found\r\n[error] Total time: 26 s, completed Mar 13, 2017 5:09:58 PM\r\n``` Fix Travis CI build for 2.11 crossbuild >>> 1"
295,"A filter that redirects from HTTP to HTTPS -- this is quite popular, so it makes sense to be internal.\r\n\r\n* https://www.clever-cloud.com/blog/engineering/2015/12/01/redirect-to-https-in-play/\r\n* https://stackoverflow.com/questions/19147147/how-to-force-play-framework-2-to-always-use-ssl\r\n* https://github.com/kaliber-scala/play-https-redirect-filter\r\n\r\nStarted with https://github.com/playframework/playframework/pull/6825\r\n\r\nThere's still some work to do -- for example, what to do if there is an explicit HTTPS port, and getting it to work nicely with Play has HTTP / HTTPS servers working. Redirect plain http to https filter (rebased #6825) >>> 1"
296,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [ ] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [ ] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [ ] Have you added copyright headers to new files?\r\n* [ ] Have you checked that both Scala and Java APIs are updated?\r\n* [x] Have you updated the documentation for both Scala and Java sections?\r\n* [ ] Have you added tests for any changed functionality?\r\n\r\n# Helpful things\r\n\r\n## Fixes\r\n\r\nFixes #xxxx\r\n\r\n## Purpose\r\n\r\nWhat does this PR do?\r\n\r\n## Background Context\r\n\r\nWhy did you take this approach?\r\n\r\n## References\r\n\r\nAre there any relevant issues / PRs / mailing lists discussions?\r\n Typo fixed from CRSF.getToken to CSRF.getToken >>> 1"
297,Forward porting from 2.5 branch. See https://github.com/playframework/playframework/commit/c490f506f2a9c136ed15070b54cc1f919ac01b69\r\n Typo: CRSF -> CSRF >>> 1
298,Seems weird that play.Environment does not have a binding but play.api.Environment does. Make play.Environment injectable >>> 1
299,nan Use play-file-watch library >>> 1
300,Adds referrer-policy to the list of security headers.\n\nSee https://scotthelme.co.uk/a-new-security-header-referrer-policy/ for more information. Adds referrer policy security header >>> 1
301,"This PR provides a reasonable default for Strict-Transport-Security, but only enables it in production.mode.  \n\nThis means that applications only have to enable the filter, and don't have to also explicitly configure HSTS. Better HSTS behavior in RedirectHttpsFilter >>> 1"
302,"This should allow people to use the helpers to run tests in parallel automatically, as long as they disable global state.\r\n\r\nNot sure how much configurability is needed here. This retains the existing functionality for those using global state so it shouldn't break existing apps. Only use PlayRunners.mutex for apps with global app enabled >>> 1"
303,Checkout https://github.com/blog/2335-open-source-license-descriptions-and-metadata\r\nI tought it's nice to make use of this GitHub feature.\r\nAlso IMHO the sentence in the README is just redundant (and not part of what the APPENDIX in the license says).\r\n\r\nFeel free to close this PR if you don't want this. Added LICENSE file to make use of GitHub goodness >>> 1
304,## Purpose\r\n\r\nRemove some more deprecated APIs calls from the documentation and sample code. Remove some more deprecated api usage from docs >>> 1
305,## Purpose\r\n\r\nUpdates HikariCP to its new version.\r\n\r\n## References\r\n\r\nSee HikariCP changelog for 2.6.0 and 2.6.1 to better understand what changed for this update:\r\n\r\nhttps://github.com/brettwooldridge/HikariCP/blob/dev/CHANGES\r\n Update HikariCP to version 2.6.1 >>> 1
306,nan Add compile time filter components for RedirectHttpsFilter >>> 1
307,## Fixes\r\n\r\nFixes #5815.\r\n\r\n## Purpose\r\n\r\nMost of the documentation was already updated with examples using Dependency Injection. This just add some small points to make it more clear and complete. Make clear that action composition can use Dependency Injection >>> 1
308,nan Add 406 and 415 error codes to Results.java >>> 1
309,"Some log statements  (especially trace- and debug-level) use parameters that are costly to compute. However, such logging levels are disabled in production. ""Lazy"" logging allows to log such big messages without explicitly checking if the requested log level is enabled. Still not supported by slf4j logging facade, although log4j 2 and JUL realization provide such methods. Override some log statements in Logger.java to provide lazy logging >>> 1"
310,"## Purpose\r\n\r\nMinor versions update.\r\n\r\n## Background Context\r\n\r\nWhy did you take this approach?\r\n\r\n## References\r\n\r\nAkka Http is one of the important updates here, mainly because this release has ""groundwork to enable Play to make use of Akka HTTP and the new Akka Streams materializer in the upcoming Play 2.6"":\r\n\r\nhttp://akka.io/news/2017/03/17/akka-http-10.0.5-released.html\r\n Update dependencies >>> 1"
311,This is a rebased version of https://github.com/playframework/playframework/pull/6328 -- the only change here is to move to `GraphStage` in the CSRFAction so it doesn't use a deprecated type. Make CSRFActions use GraphStage (rebased #6328) >>> 0
312,"Fixes #7070 POST, PUT, PATCH should ignore querystring params when building form >>> 1"
313,The command as written right now doesn't actually run for me. I found that changing it to single quotes fixed the issue Change double quotes to single quotes to fix command >>> 1
314,## Purpose\r\n\r\nImprove the migration guide with information about Java Configuration API changes.\r\n\r\n## References\r\n\r\nSee discussion here:\r\n\r\nhttps://groups.google.com/forum/#!msg/play-framework/PInYQIyQ32M/Ev7CDs4hBwAJ Docs about the changes in Java Configuration API >>> 1
315,## Purpose\r\n\r\nThis follows a suggestion made by @ktoso and give Akka Streams Inlet/Outlet because it is better for debugging purposes. Change inlet/outlet stream names to improve debug >>> 1
316,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [x] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [x] Have you added tests for any changed functionality?\r\n\r\nDon't think this actually changed functionality.\r\n\r\n# Helpful things\r\n\r\n## Purpose\r\n\r\nThis is not related to any issue.\r\n\r\nI dive into the source code every now and then to look up how things are done and I recently found a small thing where I thought ""that's not the ideal way to use a for loop"". Seeing as how reading the source code had been helpful for me, I thought I'd do some static analysis, find some stuff to clean up and then submit said cleanup. Kinda like the boy scout rule, which is mentioned in the 'contributing' page.\r\n\r\nThis PR limits itself to the `play-java` sub-project.\r\n\r\n## References\r\n\r\nNo references\r\n\r\nSo yeah. general cleanup. It makes the code a bit cleaner. I fully understand if you're all like ""we don't actually need this right now"".\r\n\r\nThings that changed:\r\n* \* imports changed to fully qualified imports.\r\n* Seemingly pointless `matcher.matches();` calls removed.\r\n* 2 duplicate primitive assignments fixed\r\n* for loop into while loop, which seems more logical for the intended functionality of that bit of code\r\n* Use of JDK8's `computeIfAbsent` functionality, which is expressly intended for ""check if map index is null, if so add something at that index"" scenarios.\r\n* Removing redundant escapes in a regex. That's according to Intellij.\r\n Static analysis of play-java subproject. >>> 1"
317,"actually request methods were not available in AbstractController\r\n\r\nwhich is a little bit inconvienient since somebody would need\r\nto write them by itself\r\n\r\nTODO:\r\n* [ ] Tests\r\n\r\nNot sure if a better place might be `RequestExtractors` besides it's not a Extractor in ""Scala"" sense, but I think it can be called a RequestExtractor also. adds a mixin trait for request methods >>> 1"
318,Fix classloading lock issue discussed #6939  use thread local document builder >>> 0
319,"Fixes #7086 \r\n\r\nThis adds the [`SameSite`](https://tools.ietf.org/html/draft-west-first-party-cookies-07) attribute to the cookie models, and sets it to `Lax` by default for the session and flash cookies. Add cookie SameSite attribute and use for session and flash >>> 1"
320,nan Replace deprecated user with username >>> 1
321,"This is a first stab at the lowest-hanging fruits for improving akka-http backend performance in play (we have a few more ideas).\r\n\r\nTwo things in here:\r\n * don't generate a `Content-Length: 0` header for GET requests => `BodyParser.default` will now correctly detect that a GET request has no body and return a `DoneAccumulator` => this will prevent any expensive stream logic to run for any GET requests => throughput more than doubles for this very common case\r\n * optimize `DoneAccumulator` to prevent scheduling combinator callbacks if the given Future has already been successfully completed, on top of the other change this improves throughput for me by another 5-10% and also simplifies profiling a lot as regular stacktraces become much simpler than before First akka-http backend performance improvement >>> 1"
322,The statement doesn't match the [code](https://github.com/playframework/playframework/blob/2.5.x/framework/src/play-java/src/main/java/play/data/Form.java#L451-L457).\r\n\r\nSee https://github.com/playframework/playframework/pull/7038#discussion_r107654150\r\n\r\nI will tackle this in #7038 for the `master` branch. Fix statement about empty List when using validate() >>> 1
323,Fixes a small wording issue in the documentation about managing library dependencies. Small fix to wording in SBTDependencies.md >>> 1
324,"In messages.default the default messages for forms validation are defined. \r\nIn order to overwrite the validation messages with language-specific messages, you need to know under which alias the messages are defined.\r\nThe reference might save users some time searching for the aliases that play uses. reference messages.default in ScalaI18N.md >>> 0"
325,This makes it so that:\r\n* Reloader no longer depends on Twirl and is more generic\r\n* We don't try to parse a source file as Twirl unless the extension matches\r\n* It's easier to support other generated sources in the future More generic handling of generated sources >>> 1
326,Fixes https://github.com/playframework/playframework/issues/6041 and https://github.com/playframework/playframework/issues/7037 Only call entityManagerContext.pop if the EntityManager is set >>> 1
327,This is the first step towards supporting Maven + Play along with https://github.com/playframework/playframework/pull/7093 Remove SBT dependency from reloader >>> 1
328,"I'd like to refactor more of the Reloader into reusable components if possible. There's a bit of code that's shared between here and Lagom and it'd be nice to have it be an easily callable library.\r\n\r\nI couldn't find anything that was using this. Lagom doesn't support it, so it brings the two reloaders a little closer. It also simplifies the code by not needing to support unused functionality. Let me know if there's some external project that depends on it somehow. I did some searches and couldn't find any. Remove unused runSbtTask >>> 1"
329,## Purpose\r\n\r\nThis refactors `Form.bind` method into a set of smaller and more digestible methods.\r\n\r\n## References\r\n\r\nFollow up of the work done by @mkurz in #7038. See discussion there about this refactoring. Refactoring forms >>> 1
330,nan JSON formats for Play Lang >>> 1
331,"`SourceModificationWatch` internally is quite a bit more complicated than what we really are using it for. It calls `sleep` internally, tracks a quiet waiting period, etc. and really all we want to know is have any files been updated.\r\n\r\nOnce I simplified this implementation it became much clearer to walk through the test and see why it was failing. The issue is that the sleep statements need to be in between compiling and modifying the file.\r\n\r\nI'm wondering if a better solution though wouldn't be to setup a second watcher for the classpath using the file watch service. Do we really want the expected behavior of the user modifying `application.conf` within 1s of a compilation to be that the modification is ignored? Simplify timestamp checking and fix dev-mode tests >>> 1"
332,"Refactors Futures to remove the Timer, and use a global actorSystem under the hood.  All methods are deprecated (so we can remove them post 2.6.x) and non-static methods / stateless methods taking actorSystem have been added to `Timeout` interface.\r\n\r\nFixes https://github.com/playframework/playframework/issues/7117 Make play.libs.concurrent.Futures timeout use ActorSystem >>> 1"
333,Added an explanation of the Play versioning scheme and API compatibility guarantees. Update Play releases page to explain versioning and API compatibility >>> 1
334,Fixes #7142\r\n update dependencies related to webdriver >>> 1
335,"Reasons why:\r\n* Removing makes it easier to share code with Lagom and other projects\r\n* Doesn't work if you have a compile error in project\r\n* Docs are not searchable, so are hard to navigate compared to web\r\n* It's undocumented, so few know it exists\r\n* Required if we want to move to Paradox\r\n\r\nThe main benefit to the feature is that it makes the docs available offline, but we should be able to add a downloadable link to the docs artifact to fulfill this purpose Remove docs from dev mode >>> 1"
336,Centralizes logback dependencies inside specs and junit builds.\nRemoves an obsolete application-logger.xml file. Small refactoring for logback in tests >>> 1
337,Expand on the Highlights26.md document. Add more info to highlights >>> 1
338,"```\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for name\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for value\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for maxAge\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for path\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for domain\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for secure\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1987: warning: no @param for httpOnly\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for name\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for value\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for maxAge\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for path\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for domain\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for secure\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for httpOnly\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1971: warning: no @param for sameSite\r\n[warn]         public Cookie(String name, String value, Integer maxAge, String path,\r\n[warn]                ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play/src/main/java/play/mvc/Http.java:1786: warning: no @param for sameSite\r\n[warn]         public void setCookie(\r\n[warn]                     ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:473: warning - Tag @link: can't find route(Application, RequestBuilder) in play.test.Helpers\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:496: warning - Tag @link: can't find route(Application, RequestBuilder, long) in play.test.Helpers\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:345: warning - Tag @link: can't find routeAndCall(Application, Class, RequestBuilder, long) in play.test.Helpers\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:313: warning - Tag @link: missing '#': ""routeAndCall(Application, RequestBuilder, long)""\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:313: warning - Tag @link: can't find routeAndCall(Application, RequestBuilder, long) in play.test.Helpers\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:381: warning - Tag @link: can't find routeAndCall(Application, Router, RequestBuilder) in play.test.Helpers\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-test/src/main/java/play/test/Helpers.java:407: warning - Tag @link: can't find routeAndCall(Application, RequestBuilder, long) in play.test.Helpers\r\n[success] Total time: 65 s, completed Mar 28, 2017 3:54:04 PM\r\nmodel contains 87 documentable templates\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-filters-helpers/src/main/scala/play/filters/cors/CORSActionBuilder.scala:29: Could not find any member to link for ""play.api.mvc.ActionBuilder"".\r\n[warn] /**\r\n[warn] ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-filters-helpers/src/main/scala/play/filters/cors/CORSActionBuilder.scala:14: Could not find any member to link for ""play.api.mvc.ActionBuilder"".\r\n[warn] /**\r\n[warn] ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-filters-helpers/src/main/scala/play/filters/cors/CORSFilter.scala:15: Could not find any member to link for ""play.api.mvc.Filter"".\r\n[warn] /**\r\n[warn] ^\r\n[warn] /home/travis/build/playframework/playframework/framework/src/play-filters-helpers/src/main/scala/play/filters/cors/CORSConfig.scala:98: Could not find any member to link for ""play.api.Configuration"".\r\n[warn]   /**\r\n[warn]   ^\r\n``` Fix javadoc warnings >>> 1"
339,nan Update migration guides to reflect selenium update >>> 1
340,"Turns out my impl from yesterday was fine, just that something else on my other WIP branch was causing a failure.\r\n\r\nThis unblocks us from upgrading to Akka 2.5 and the new materialzer with it 👍  Rewrite CSRF BodyParser, unlock upgrading to Akka 2.5 >>> 1"
